COUNTY,Storm,Calculated Sea Level Pressure Estimate (mb),Precipitation (in),Sea Level Pressure (mb),Wind Gusts (mph),Wind Speed (mph)
Alamance County,Arthur,,0,1018.345833,20.7,6.322535211
Alamance County,Florence,,5.43,1012.3725,33.4,11.31333333
Alamance County,Matthew,,3.4,1020.7125,35.7,8.045833333
Alexander County,Arthur,1018.816667,0,,14.5,3.0625
Alexander County,Florence,1012.510833,5.74,,20.6,4.714166667
Alexander County,Matthew,1020.59375,0.08,,19.3,3.496875
Anson County,Arthur,1018.076389,0,,12.9,3.727083333
Anson County,Florence,1009.8925,20.81,,44.9,8.390797546
Anson County,Matthew,1019.814583,8.17,,38,5.794444444
Ashe County,Arthur,1021.070833,1.3,,30.8,6.709813084
Ashe County,Florence,1015.297083,18.27,,33.4,10.04178273
Ashe County,Matthew,1023.859375,0.34,,39.1,9.962369338
Beaufort County,Arthur,1016.306944,3.52,,27.6,5.22027972
Beaufort County,Florence,1012.995,5.13,,29.6,7.228365385
Beaufort County,Matthew,1016.4875,10.23,,34.2,7.170769231
Bertie County,Arthur,1017.005556,3.05,,26.7,6.852777778
Bertie County,Florence,1013.560833,3.34,,25.3,9.080833333
Bertie County,Matthew,1018.276042,10.05,,40,10.08125
Bladen County,Arthur,,0,,21.9,3.468055556
Bladen County,Florence,,0,,46,25.025
Bladen County,Matthew,,0,,17.3,6.246666667
Brunswick County,Arthur,,3.3,,43.7,8.751388889
Brunswick County,Florence,,0.15,,32.2,10.3140625
Brunswick County,Matthew,,1.94,,58.7,11.84791667
Buncombe County,Arthur,,0,1019.75,31.1,8.841666667
Buncombe County,Florence,,1.44,1013.095,32.2,8.570833333
Buncombe County,Matthew,,0.01,1022.180208,47.2,11.35368421
Burke County,Arthur,,0,1017.8375,23,3.252083333
Burke County,Florence,,3.7,1011.489167,33.4,8.105150215
Burke County,Matthew,,0.08,1020.461458,28.8,5.681770833
Cabarrus County,Arthur,,0,,17.3,5.023943662
Cabarrus County,Florence,,0,,36.8,9.691129032
Cabarrus County,Matthew,,0,,31.1,6.767391304
Carteret County,Arthur,,3.42,1016.198077,70.2,13.02020202
Carteret County,Florence,,0,1012.896875,20.7,13.2
Carteret County,Matthew,,3.38,1017.653061,62.1,14.7375
Chatham County,Arthur,1018.675,0.24,,16.1,4.463194444
Chatham County,Florence,1012.089167,10.07,,46,10.02352941
Chatham County,Matthew,1020.7875,3.67,,36.8,6.319270833
Cherokee County,Arthur,,0,,16.1,2.981690141
Cherokee County,Florence,,0.19,,18.4,2.105932203
Cherokee County,Matthew,,0,,23,3.970833333
Chowan County,Arthur,,1.3,,33.4,8.905555556
Chowan County,Florence,,2.34,,35.7,11.32083333
Chowan County,Matthew,,9.46,,44.9,11.93854167
Cleveland County,Arthur,,0,,,3.421917808
Cleveland County,Florence,,0,,35.7,10.72627119
Cleveland County,Matthew,,0,,31.1,6.291208791
Columbus County,Arthur,1016.8625,1.27,,21.9,4.103472222
Columbus County,Florence,1006.665833,23.36,,41.2,11.40859375
Columbus County,Matthew,1016.645833,16.39,,38.6,7.633050847
Craven County,Arthur,,0.99,1016.517361,62.1,10.74861111
Craven County,Florence,,1.19,1012.727551,72.5,12.25555556
Craven County,Matthew,,5.8,1016.513158,62.1,15.61631579
Cumberland County,Arthur,,0.24,1017.719444,21.9,6.925925926
Cumberland County,Florence,,26.3,1008.812019,63.3,16.9576
Cumberland County,Matthew,,71.8,1017.832292,56.4,12.2455814
Currituck County,Arthur,,1.23,,40.3,7.169014085
Currituck County,Florence,,0.04,,,
Currituck County,Matthew,,1.91,,44.9,8.582608696
Dare County,Arthur,,3.83,1016.331944,71.3,12.06948357
Dare County,Florence,,2.45,1014.454167,51.8,13.28534483
Dare County,Matthew,,15.7,1015.889011,63.3,14.68345588
Davidson County,Arthur,,0.06,,,2.166666667
Davidson County,Florence,,5.38,,,
Davidson County,Matthew,,2.37,,25.3,3.334375
Duplin County,Arthur,1016.519444,0.98,,20.2,3.471311475
Duplin County,Florence,1008.639167,16.63,,54.1,12.24656489
Duplin County,Matthew,1016.608511,8.45,,39.2,7.892063492
Durham County,Arthur,1018.951389,0.01,,11.7,3.470833333
Durham County,Florence,1013.500833,0.02,,18.9,4.5325
Durham County,Matthew,1021.527083,5.14,,18.2,3.155208333
Edgecombe County,Arthur,1017.316667,2.05,,26.5,5.581944444
Edgecombe County,Florence,1012.760833,3.81,,31.2,11.09833333
Edgecombe County,Matthew,1018.54375,9.7,,39,10.02670807
Forsyth County,Arthur,,0.04,1018.933333,40.3,6.475
Forsyth County,Florence,,4.54,1013.034167,34.5,11.96833333
Forsyth County,Matthew,,3.14,1021.501042,29.9,8.373684211
Franklin County,Arthur,,0,,18.4,3.404166667
Franklin County,Florence,,0,,,
Franklin County,Matthew,,0,,24.2,11.51818182
Gaston County,Arthur,,0.03,1018.611111,20.7,4.648611111
Gaston County,Florence,,5.19,1011.259167,44.9,10.7975
Gaston County,Matthew,,1.67,1021.028421,32.2,6.422105263
Gates County,Arthur,,0.24,,,
Gates County,Florence,1014.371667,1.44,,16.7,3.9875
Gates County,Matthew,1018.89375,12.43,,34.2,5.288541667
Granville County,Arthur,1017.872222,1.12,,33.4,5.197916667
Granville County,Florence,1012.94,5.61,,28.8,8.521702128
Granville County,Matthew,1020.426042,5.28,,23.5,6.019791667
Guilford County,Arthur,1018.968056,0.31,1018.308333,23,5.65625
Guilford County,Florence,1012.923333,13.39,1012.435833,36.8,12.33416667
Guilford County,Matthew,1021.570833,7.33,1020.832292,38,7.748958333
Halifax County,Arthur,,0,,28.8,6.040277778
Halifax County,Florence,,0,,28.8,5.636842105
Halifax County,Matthew,,0,,43.7,10.18958333
Harnett County,Arthur,,0.57,,20.7,4.152777778
Harnett County,Florence,,1.66,,48.3,9.040384615
Harnett County,Matthew,,3.09,,36.8,4.653846154
Haywood County,Arthur,1023.735417,0.69,,30.6,8.239583333
Haywood County,Florence,1016.86375,9.77,,40.4,7.874166667
Haywood County,Matthew,1026.425521,0.88,,49.4,10.33489583
Henderson County,Arthur,1021.329861,0.08,,35.3,7.675694444
Henderson County,Florence,1014.677083,9.68,,34.2,8.79125
Henderson County,Matthew,1023.989063,0.1,,48.8,10.35416667
Hertford County,Arthur,,1.07,,20.7,4.266666667
Hertford County,Florence,,2.33,,32.2,7.461946903
Hertford County,Matthew,,1.2,,40.3,6.022222222
Iredell County,Arthur,,0.1,,24.2,4.272222222
Iredell County,Florence,,2.92,,33.4,11.71538462
Iredell County,Matthew,,0.76,,32.2,6.238541667
Johnston County,Arthur,1017.711111,3.11,,19.6,3.49537037
Johnston County,Florence,1011.66318,14.52,,48.3,7.977581121
Johnston County,Matthew,1016.786577,15.67,,48.3,6.834010152
Lee County,Arthur,,0,,17.3,4.620833333
Lee County,Florence,,0,,41.4,10.53555556
Lee County,Matthew,,3.57,,42.6,6.271153846
Lenoir County,Arthur,1017.890278,4.3,,29,5.746808511
Lenoir County,Florence,1012.660833,9.52,,58.7,12.42922374
Lenoir County,Matthew,1018.178125,8.27,,50.6,10.19947644
Lincoln County,Arthur,,0,,,2.765277778
Lincoln County,Florence,,3.52,,32.2,8.8425
Lincoln County,Matthew,,0.62,,24.2,4.613402062
Macon County,Arthur,1024.663889,0,,19.6,3.081944444
Macon County,Florence,1018.171667,0.68,,13.8,2.760833333
Macon County,Matthew,1026.540625,0.03,,32.2,3.48125
Martin County,Arthur,1016.947222,2.97,,17.3,4.583333333
Martin County,Florence,1013.188679,0.64,,18.5,5.303773585
Martin County,Matthew,1018.054167,8.48,,22,4.955208333
Mecklenburg County,Arthur,,0.14,1018.511111,24.2,6.75
Mecklenburg County,Florence,,6.16,1011.0675,39.1,13.93833333
Mecklenburg County,Matthew,,2.13,1020.795833,38,9.996875
Mitchell County,Arthur,1021.018056,0.02,,20.3,3.722222222
Mitchell County,Florence,1014.2325,3.88,,22.9,4.488333333
Mitchell County,Matthew,1024.068421,0.02,,28.4,4.897894737
Montgomery County,Arthur,1017.361111,0.02,,22.8,6.4125
Montgomery County,Florence,1010.554167,14.78,,41.2,14.23916667
Montgomery County,Matthew,1020.047917,6.44,,41.3,9.694791667
Moore County,Arthur,,0,,18.4,5.104166667
Moore County,Florence,,0,1011.478049,43.7,12.06470588
Moore County,Matthew,,0,1021.270652,39.1,7.510869565
Nash County,Arthur,,1.56,1017.756944,28.8,7.601408451
Nash County,Florence,,6.9,1013.0175,44.9,10.29333333
Nash County,Matthew,,7.34,1019.32,47.2,12.79052632
New Hanover County,Arthur,1016.693056,7.05,1016.380556,58.7,8.386805556
New Hanover County,Florence,1008.725,12.16,1007.825532,87.5,15.32358491
New Hanover County,Matthew,1035.815625,12.25,1015.914583,65.6,12.39947917
Onslow County,Arthur,,4.52,1016.640278,41.4,8.964788732
Onslow County,Florence,,2.48,1010.62069,80.5,14.05211268
Onslow County,Matthew,,11.69,1016.282292,69,13.27539267
Pasquotank County,Arthur,,1.33,1016.8,46,12.75972222
Pasquotank County,Florence,,1.79,1014.915833,34.5,13.72
Pasquotank County,Matthew,,9.34,1017.709375,62.1,17.265625
Person County,Arthur,,0,,28.8,4.733333333
Person County,Florence,,0,,32.2,11.10084034
Person County,Matthew,,0,,29.9,6.409375
Pitt County,Arthur,,1.61,,26.5,6.633333333
Pitt County,Florence,,0.07,,25.3,9.008641975
Pitt County,Matthew,,5.01,,58.7,18.45
Randolph County,Arthur,,0,,,3.084722222
Randolph County,Florence,,5.86,,34.5,10.33333333
Randolph County,Matthew,,2.18,,36.8,5.573958333
Richmond County,Arthur,1018.394444,0,1018.601389,23,5.74375
Richmond County,Florence,1009.62,21.94,1007.033333,50.6,13.22291667
Richmond County,Matthew,1020.016667,10.13,1014.141667,49.5,7.27037037
Rockingham County,Arthur,1018.688889,0,,23,4.127083333
Rockingham County,Florence,1013.3325,10.27,,24.3,8.1675
Rockingham County,Matthew,1021.66875,6.43,,19.6,4.236021505
Rowan County,Arthur,1018.048611,1.14,,17.3,3.867361111
Rowan County,Florence,1011.133333,5.23,,33.4,9.20875
Rowan County,Matthew,1020.695833,5.16,,29.9,5.566492147
Rutherford County,Arthur,,0,,21.9,4.651388889
Rutherford County,Florence,,1.79,,36.8,8.292920354
Rutherford County,Matthew,,0.02,,27.6,5.674736842
Sampson County,Arthur,1017.820833,2.11,,21.9,4.621527778
Sampson County,Florence,1011.248333,16.56,,49.5,12.89285714
Sampson County,Matthew,1018.2125,17.47,,47,10.92767857
Scotland County,Arthur,,0,1017.802778,23,7.534722222
Scotland County,Florence,,0,1009.464,51.8,15.524
Scotland County,Matthew,,6.7,1021.658333,55.2,10.93829787
Stanly County,Arthur,1018.575,0,,24.2,4.546478873
Stanly County,Florence,1011.2775,14.79,,42.6,10.43613445
Stanly County,Matthew,1021.307292,4.36,,39.1,7.184895833
Surry County,Arthur,,1.74,,24.2,4.338571429
Surry County,Florence,,3.66,,35.7,9.416239316
Surry County,Matthew,,0.11,,33.4,6.272340426
Union County,Arthur,,0.04,1018.605556,24.2,6.102777778
Union County,Florence,,7.57,1008.769492,43.7,21.1559322
Union County,Matthew,,2.34,1020.997917,44.9,10.20625
Wake County,Arthur,1016.870139,0.29,1018.134722,27.2,5.788888889
Wake County,Florence,1010.9975,17.27,1012.395833,46,11.43305556
Wake County,Matthew,1018.8125,22.16,1020.197917,41.4,7.786111111
Washington County,Arthur,1016.981944,0.83,,36,10.78055556
Washington County,Florence,1014.214167,4.6,,34.6,12.66583333
Washington County,Matthew,1017.513542,8.98,,46.1,13.88125
Watauga County,Arthur,,0.98,,25.3,6.115277778
Watauga County,Florence,,5.39,,34.5,4.903333333
Watauga County,Matthew,,0.14,,34.5,7.709375
Wayne County,Arthur,1017.725,3.56,1017.265278,40.3,6.39212963
Wayne County,Florence,1011.626667,19.75,1011.184211,39.1,13.03093525
Wayne County,Matthew,1018.303125,13.52,1007.2,55.7,10.92821577
Wilkes County,Arthur,,0,,17.3,3.630555556
Wilkes County,Florence,,0,,31.1,9.103448276
Wilkes County,Matthew,,0,,31.1,4.838541667
Yancey County,Arthur,1023.210417,0.3,,14.2,3.6625
Yancey County,Florence,1016.067083,16.11,,63.2,10.38875
Yancey County,Matthew,1025.344271,1.32,,58.5,9.800520833
